1; 0m0,006s
2; 0m0,554s
3; 0m1,095s
4; 0m0,563s
5; 0m0,609s
6; 0m0,550s
7; 0m0,560s
8; 0m0,541s
9; 0m0,554s
10; 0m0,550s
11; 0m0,546s
12; 0m1,100s
13; 0m0,545s
14; 0m0,534s
15; 0m0,517s
16; 0m0,544s
17; 0m0,560s
18; 0m1,164s
19; 0m1,123s
20; 0m0,558s
21; 0m0,611s
22; 0m0,559s
23; 0m0,568s
24; 0m1,107s
25; 0m0,008s
26; 0m0,534s
27; 0m0,574s
28; 0m0,553s
29; 0m0,562s
30; 0m1,079s
31; 0m0,538s
32; 0m1,680s
33; 0m0,558s
34; 0m0,565s
35; 0m0,581s
36; 0m0,559s
37; 0m0,536s
38; 0m0,011s
39; 0m0,590s
40; 0m0,564s
41; 0m0,616s
42; 0m0,532s
43; 0m0,561s
44; 0m1,151s
45; 0m0,010s
46; 0m0,551s
47; 0m0,012s
48; 0m0,560s
49; 0m0,584s
50; 0m0,013s
